Entry	Entry name	Protein names	Organism	Length	Gene names  (primary )	Gene ontology (cellular component)	Gene ontology (biological process)	Gene ontology (molecular function)
Q92688	AN32B_HUMAN	Acidic leucine-rich nuclear phosphoprotein 32 family member B (Acidic protein rich in leucines) (Putative HLA-DR-associated protein I-2) (PHAPI2) (Silver-stainable protein SSP29)	Homo sapiens (Human)	251	ANP32B	cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; nucleus [GO:0005634]	activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; inner ear development [GO:0048839]; negative regulation of cell differentiation [GO:0045596]; nucleosome assembly [GO:0006334]; positive regulation of protein export from nucleus [GO:0046827]; roof of mouth development [GO:0060021]; vasculature development [GO:0001944]; ventricular system development [GO:0021591]	histone binding [GO:0042393]; RNA polymerase binding [GO:0070063]
Q92734	TFG_HUMAN	Protein TFG (TRK-fused gene protein)	Homo sapiens (Human)	400	TFG	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum exit site [GO:0070971]; Golgi membrane [GO:0000139]	COPII vesicle coating [GO:0048208]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]	identical protein binding [GO:0042802]
Q92930	RAB8B_HUMAN	Ras-related protein Rab-8B	Homo sapiens (Human)	207	RAB8B	cell tip [GO:0051286]; endosome [GO:0005768]; extracellular exosome [GO:0070062]; intracellular membrane-bounded organelle [GO:0043231]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; perinuclear region of cytoplasm [GO:0048471]; peroxisomal membrane [GO:0005778]; phagocytic vesicle [GO:0045335]; phagocytic vesicle membrane [GO:0030670]; plasma membrane [GO:0005886]; recycling endosome membrane [GO:0055038]; synaptic vesicle [GO:0008021]; trans-Golgi network transport vesicle [GO:0030140]	adherens junction organization [GO:0034332]; antigen processing and presentation [GO:0019882]; cellular response to insulin stimulus [GO:0032869]; Golgi vesicle fusion to target membrane [GO:0048210]; intracellular protein transport [GO:0006886]; positive regulation of cell projection organization [GO:0031346]; positive regulation of corticotropin secretion [GO:0051461]; protein import into peroxisome membrane [GO:0045046]; protein localization to plasma membrane [GO:0072659]; protein secretion [GO:0009306]; Rab protein signal transduction [GO:0032482]; regulation of exocytosis [GO:0017157]; vesicle docking involved in exocytosis [GO:0006904]	GDP binding [GO:0019003]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; signaling receptor binding [GO:0005102]; TPR domain binding [GO:0030911]
Q96B54	ZN428_HUMAN	Zinc finger protein 428 (Enzyme-like protein PIT13)	Homo sapiens (Human)	188	ZNF428			metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]
Q96C90	PP14B_HUMAN	Protein phosphatase 1 regulatory subunit 14B (Phospholipase C-beta-3 neighbouring gene protein)	Homo sapiens (Human)	147	PPP1R14B	cytoplasm [GO:0005737]	innate immune response [GO:0045087]; regulation of phosphorylation [GO:0042325]	protein serine/threonine phosphatase inhibitor activity [GO:0004865]
Q96CS3	FAF2_HUMAN	FAS-associated factor 2 (Protein ETEA) (UBX domain-containing protein 3B) (UBX domain-containing protein 8)	Homo sapiens (Human)	445	FAF2	azurophil granule lumen [GO:0035578]; endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]; lipid droplet [GO:0005811]; VCP-NPL4-UFD1 AAA ATPase complex [GO:0034098]	lipid droplet organization [GO:0034389]; neutrophil degranulation [GO:0043312]; response to unfolded protein [GO:0006986]; retrograde protein transport, ER to cytosol [GO:0030970]; ubiquitin-dependent ERAD pathway [GO:0030433]	lipase binding [GO:0035473]; lipase inhibitor activity [GO:0055102]; ubiquitin binding [GO:0043130]; ubiquitin protein ligase binding [GO:0031625]
Q96F46	I17RA_HUMAN	Interleukin-17 receptor A (IL-17 receptor A) (IL-17RA) (CDw217) (CD antigen CD217)	Homo sapiens (Human)	866	IL17RA	extracellular region [GO:0005576]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	cell surface receptor signaling pathway [GO:0007166]; defense response to fungus [GO:0050832]; fibroblast activation [GO:0072537]; granulocyte chemotaxis [GO:0071621]; interleukin-17-mediated signaling pathway [GO:0097400]; positive regulation of cytokine production involved in inflammatory response [GO:1900017]; positive regulation of interleukin-13 secretion [GO:2000667]; positive regulation of interleukin-23 production [GO:0032747]; positive regulation of interleukin-5 secretion [GO:2000664]	interleukin-17 receptor activity [GO:0030368]; signaling receptor binding [GO:0005102]
Q96GP6	SREC2_HUMAN	Scavenger receptor class F member 2 (SRECRP-1) (Scavenger receptor expressed by endothelial cells 2 protein) (SREC-II)	Homo sapiens (Human)	871	SCARF2	focal adhesion [GO:0005925]; integral component of membrane [GO:0016021]	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]	
Q96HE7	ERO1A_HUMAN	ERO1-like protein alpha (ERO1-L) (ERO1-L-alpha) (EC 1.8.4.-) (Endoplasmic oxidoreductin-1-like protein) (Endoplasmic reticulum oxidoreductase alpha) (Oxidoreductin-1-L-alpha)	Homo sapiens (Human)	468	ERO1A	dendrite [GO:0030425]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]	4-hydroxyproline metabolic process [GO:0019471]; animal organ senescence [GO:0010260]; brown fat cell differentiation [GO:0050873]; cell redox homeostasis [GO:0045454]; cellular protein modification process [GO:0006464]; cellular response to hypoxia [GO:0071456]; cellular response to oxidative stress [GO:0034599]; chaperone cofactor-dependent protein refolding [GO:0051085]; endoplasmic reticulum unfolded protein response [GO:0030968]; extracellular matrix organization [GO:0030198]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; protein folding [GO:0006457]; protein folding in endoplasmic reticulum [GO:0034975]; protein maturation by protein folding [GO:0022417]; release of sequestered calcium ion into cytosol [GO:0051209]; response to endoplasmic reticulum stress [GO:0034976]; response to temperature stimulus [GO:0009266]	disulfide oxidoreductase activity [GO:0015036]; oxidoreductase activity [GO:0016491]; oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor [GO:0016671]; protein disulfide isomerase activity [GO:0003756]; protein disulfide oxidoreductase activity [GO:0015035]
Q96IU4	ABHEB_HUMAN	Protein ABHD14B (EC 3.-.-.-) (Alpha/beta hydrolase domain-containing protein 14B) (Abhydrolase domain-containing protein 14B) (CCG1-interacting factor B)	Homo sapiens (Human)	210	ABHD14B	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleolus [GO:0005730]; nucleus [GO:0005634]	3'-phosphoadenosine 5'-phosphosulfate metabolic process [GO:0050427]; positive regulation of transcription by RNA polymerase II [GO:0045944]	hydrolase activity [GO:0016787]
Q96J42	TXD15_HUMAN	Thioredoxin domain-containing protein 15	Homo sapiens (Human)	360	TXNDC15	cell [GO:0005623]; integral component of membrane [GO:0016021]	cell redox homeostasis [GO:0045454]	
Q96JY6	PDLI2_HUMAN	PDZ and LIM domain protein 2 (PDZ-LIM protein mystique)	Homo sapiens (Human)	352	PDLIM2	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; nucleus [GO:0005634]		metal ion binding [GO:0046872]
Q96KP4	CNDP2_HUMAN	Cytosolic non-specific dipeptidase (EC 3.4.13.18) (CNDP dipeptidase 2) (Carnosine dipeptidase II) (Epididymis secretory protein Li 13) (Glutamate carboxypeptidase-like protein 1) (Peptidase A)	Homo sapiens (Human)	475	CNDP2	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]	glutathione biosynthetic process [GO:0006750]	alanylglutamate dipeptidase activity [GO:0103046]; carboxypeptidase activity [GO:0004180]; cytosolic dipeptidase activity [GO:0102008]; metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]
Q96PD2	DCBD2_HUMAN	Discoidin, CUB and LCCL domain-containing protein 2 (CUB, LCCL and coagulation factor V/VIII-homology domains protein 1) (Endothelial and smooth muscle cell-derived neuropilin-like protein)	Homo sapiens (Human)	775	DCBLD2	cell surface [GO:0009986]; integral component of plasma membrane [GO:0005887]	intracellular receptor signaling pathway [GO:0030522]; negative regulation of cell growth [GO:0030308]; wound healing [GO:0042060]	
Q96QD8	S38A2_HUMAN	Sodium-coupled neutral amino acid transporter 2 (Amino acid transporter A2) (Protein 40-9-1) (Solute carrier family 38 member 2) (System A amino acid transporter 2) (System A transporter 1) (System N amino acid transporter 2)	Homo sapiens (Human)	506	SLC38A2	axon [GO:0030424]; brush border [GO:0005903]; dendrite [GO:0030425]; integral component of plasma membrane [GO:0005887]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]	alanine transport [GO:0032328]; amino acid transmembrane transport [GO:0003333]; amino acid transport [GO:0006865]; cellular response to amino acid starvation [GO:0034198]; cellular response to mechanical stimulus [GO:0071260]; cerebral cortex development [GO:0021987]; female pregnancy [GO:0007565]; glutamate secretion [GO:0014047]; glycine betaine transport [GO:0031460]; sodium ion transport [GO:0006814]	amino acid transmembrane transporter activity [GO:0015171]; L-glutamine transmembrane transporter activity [GO:0015186]; symporter activity [GO:0015293]
Q96QK1	VPS35_HUMAN	Vacuolar protein sorting-associated protein 35 (hVPS35) (Maternal-embryonic 3) (Vesicle protein sorting 35)	Homo sapiens (Human)	796	VPS35	cytosol [GO:0005829]; early endosome [GO:0005769]; endosome [GO:0005768]; endosome membrane [GO:0010008]; extracellular exosome [GO:0070062]; glutamatergic synapse [GO:0098978]; late endosome [GO:0005770]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; mitochondrion-derived vesicle [GO:0099073]; neuronal cell body [GO:0043025]; neuron projection [GO:0043005]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; presynapse [GO:0098793]; retromer, cargo-selective complex [GO:0030906]; retromer complex [GO:0030904]; tubular endosome [GO:0097422]	intracellular protein transport [GO:0006886]; lysosome organization [GO:0007040]; mitochondrial fragmentation involved in apoptotic process [GO:0043653]; mitochondrion to lysosome transport [GO:0099074]; negative regulation of cell death [GO:0060548]; negative regulation of cellular protein localization [GO:1903828]; negative regulation of gene expression [GO:0010629]; negative regulation of inflammatory response [GO:0050728]; negative regulation of late endosome to lysosome transport [GO:1902823]; negative regulation of lysosomal protein catabolic process [GO:1905166]; negative regulation of neuron death [GO:1901215]; negative regulation of protein homooligomerization [GO:0032463]; neurotransmitter receptor transport, endosome to plasma membrane [GO:0099639]; neurotransmitter receptor transport, endosome to postsynaptic membrane [GO:0098887]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of cellular protein catabolic process [GO:1903364]; positive regulation of dopamine biosynthetic process [GO:1903181]; positive regulation of dopamine receptor signaling pathway [GO:0060161]; positive regulation of gene expression [GO:0010628]; positive regulation of locomotion involved in locomotory behavior [GO:0090326]; positive regulation of mitochondrial fission [GO:0090141]; positive regulation of Wnt protein secretion [GO:0061357]; protein destabilization [GO:0031648]; protein localization to organelle [GO:0033365]; regulation of cellular protein metabolic process [GO:0032268]; regulation of dendritic spine maintenance [GO:1902950]; regulation of macroautophagy [GO:0016241]; regulation of mitochondrion organization [GO:0010821]; regulation of presynapse assembly [GO:1905606]; regulation of protein stability [GO:0031647]; regulation of terminal button organization [GO:2000331]; retrograde transport, endosome to Golgi [GO:0042147]; retrograde transport, endosome to plasma membrane [GO:1990126]; synapse assembly [GO:0007416]; transcytosis [GO:0045056]; vesicle-mediated transport in synapse [GO:0099003]; viral process [GO:0016032]; voluntary musculoskeletal movement [GO:0050882]; Wnt signaling pathway [GO:0016055]	D1 dopamine receptor binding [GO:0031748]; protein transporter activity [GO:0008565]
Q96R06	SPAG5_HUMAN	Sperm-associated antigen 5 (Astrin) (Deepest) (Mitotic spindle-associated protein p126) (MAP126)	Homo sapiens (Human)	1193	SPAG5	centriolar satellite [GO:0034451]; condensed chromosome kinetochore [GO:0000777]; cytoplasm [GO:0005737]; kinetochore [GO:0000776]; microtubule plus-end [GO:0035371]; midbody [GO:0030496]; mitotic spindle [GO:0072686]; mitotic spindle pole [GO:0097431]	cell division [GO:0051301]; chromosome segregation [GO:0007059]; mitotic sister chromatid segregation [GO:0000070]; positive regulation of intracellular transport [GO:0032388]; positive regulation of spindle assembly [GO:1905832]; protein localization to centrosome [GO:0071539]; regulation of attachment of spindle microtubules to kinetochore [GO:0051988]; regulation of metaphase plate congression [GO:0090235]; spindle organization [GO:0007051]	microtubule binding [GO:0008017]
Q99426	TBCB_HUMAN	Tubulin-folding cofactor B (Cytoskeleton-associated protein 1) (Cytoskeleton-associated protein CKAPI) (Tubulin-specific chaperone B)	Homo sapiens (Human)	244	TBCB	cytoplasm [GO:0005737]; cytosol [GO:0005829]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]	cell differentiation [GO:0030154]; nervous system development [GO:0007399]	
Q99442	SEC62_HUMAN	Translocation protein SEC62 (Translocation protein 1) (TP-1) (hTP-1)	Homo sapiens (Human)	399	SEC62	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of endoplasmic reticulum membrane [GO:0030176]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; rough endoplasmic reticulum [GO:0005791]	cotranslational protein targeting to membrane [GO:0006613]; posttranslational protein targeting to endoplasmic reticulum membrane [GO:0006620]; posttranslational protein targeting to membrane, translocation [GO:0031204]	protein transporter activity [GO:0008565]; signaling receptor activity [GO:0038023]
Q99497	PARK7_HUMAN	Protein/nucleic acid deglycase DJ-1 (EC 3.1.2.-) (EC 3.5.1.-) (EC 3.5.1.124) (Maillard deglycase) (Oncogene DJ1) (Parkinson disease protein 7) (Parkinsonism-associated deglycase) (Protein DJ-1) (DJ-1)	Homo sapiens (Human)	189	PARK7	axon [GO:0030424]; cell body [GO:0044297]; cell-cell adherens junction [GO:0005913]; chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; membrane raft [GO:0045121]; mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; PML body [GO:0016605]; presynapse [GO:0098793]	activation of protein kinase B activity [GO:0032148]; adult locomotory behavior [GO:0008344]; autophagy [GO:0006914]; cellular response to glyoxal [GO:0036471]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to oxidative stress [GO:0034599]; detoxification of copper ion [GO:0010273]; detoxification of mercury ion [GO:0050787]; DNA repair [GO:0006281]; dopamine uptake involved in synaptic transmission [GO:0051583]; enzyme active site formation via L-cysteine sulfinic acid [GO:0018323]; glucose homeostasis [GO:0042593]; glutathione deglycation [GO:0036531]; glycolate biosynthetic process [GO:0046295]; glyoxal metabolic process [GO:1903189]; guanine deglycation [GO:0106044]; guanine deglycation, glyoxal removal [GO:0106046]; guanine deglycation, methylglyoxal removal [GO:0106045]; hydrogen peroxide metabolic process [GO:0042743]; inflammatory response [GO:0006954]; insulin secretion [GO:0030073]; lactate biosynthetic process [GO:0019249]; membrane depolarization [GO:0051899]; membrane hyperpolarization [GO:0060081]; methylglyoxal metabolic process [GO:0009438]; mitochondrion organization [GO:0007005]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell death [GO:0060548]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway [GO:2001268]; negative regulation of death-inducing signaling complex assembly [GO:1903073]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; negative regulation of gene expression [GO:0010629]; negative regulation of hydrogen peroxide-induced cell death [GO:1903206]; negative regulation of hydrogen peroxide-induced neuron death [GO:1903208]; negative regulation of hydrogen peroxide-induced neuron intrinsic apoptotic signaling pathway [GO:1903384]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of neuron death [GO:1901215]; negative regulation of nitrosative stress-induced intrinsic apoptotic signaling pathway [GO:1905259]; negative regulation of oxidative stress-induced cell death [GO:1903202]; negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway [GO:1903377]; negative regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032435]; negative regulation of protein acetylation [GO:1901984]; negative regulation of protein binding [GO:0032091]; negative regulation of protein export from nucleus [GO:0046826]; negative regulation of protein K48-linked deubiquitination [GO:1903094]; negative regulation of protein kinase activity [GO:0006469]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of protein sumoylation [GO:0033234]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of reactive oxygen species biosynthetic process [GO:1903427]; negative regulation of TRAIL-activated apoptotic signaling pathway [GO:1903122]; negative regulation of ubiquitin-protein transferase activity [GO:0051444]; negative regulation of ubiquitin-specific protease activity [GO:2000157]; peptidyl-arginine deglycation [GO:0036527]; peptidyl-cysteine deglycation [GO:0036526]; peptidyl-lysine deglycation [GO:0036528]; positive regulation of acute inflammatory response to antigenic stimulus [GO:0002866]; positive regulation of androgen receptor activity [GO:2000825]; positive regulation of autophagy of mitochondrion [GO:1903599]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of dopamine biosynthetic process [GO:1903181]; positive regulation of gene expression [GO:0010628]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of L-dopa biosynthetic process [GO:1903197]; positive regulation of L-dopa decarboxylase activity [GO:1903200]; positive regulation of mitochondrial electron transport, NADH to ubiquinone [GO:1902958]; positive regulation of NAD(P)H oxidase activity [GO:0033864]; positive regulation of oxidative phosphorylation uncoupler activity [GO:2000277]; positive regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902177]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of protein homodimerization activity [GO:0090073]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of pyrroline-5-carboxylate reductase activity [GO:1903168]; positive regulation of reactive oxygen species biosynthetic process [GO:1903428]; positive regulation of superoxide dismutase activity [GO:1901671]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription regulatory region DNA binding [GO:2000679]; positive regulation of tyrosine 3-monooxygenase activity [GO:1903178]; protein deglycation, glyoxal removal [GO:0036529]; protein deglycation, methylglyoxal removal [GO:0036530]; protein deglycosylation [GO:0006517]; protein stabilization [GO:0050821]; Ras protein signal transduction [GO:0007265]; regulation of androgen receptor signaling pathway [GO:0060765]; regulation of inflammatory response [GO:0050727]; regulation of mitochondrial membrane potential [GO:0051881]; regulation of neuron apoptotic process [GO:0043523]; regulation of supramolecular fiber organization [GO:1902903]; single fertilization [GO:0007338]	androgen receptor binding [GO:0050681]; cadherin binding [GO:0045296]; copper ion binding [GO:0005507]; cupric ion binding [GO:1903135]; cuprous ion binding [GO:1903136]; cytokine binding [GO:0019955]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; kinase binding [GO:0019900]; L-dopa decarboxylase activator activity [GO:0036478]; mercury ion binding [GO:0045340]; mRNA binding [GO:0003729]; oxidoreductase activity, acting on peroxide as acceptor [GO:0016684]; peptidase activity [GO:0008233]; peroxiredoxin activity [GO:0051920]; protein deglycase activity [GO:0036524]; protein homodimerization activity [GO:0042803]; repressing transcription factor binding [GO:0070491]; scaffold protein binding [GO:0097110]; signaling receptor binding [GO:0005102]; small protein activating enzyme binding [GO:0044388]; superoxide dismutase copper chaperone activity [GO:0016532]; transcription coactivator activity [GO:0003713]; transcription factor binding [GO:0008134]; tyrosine 3-monooxygenase activator activity [GO:0036470]; ubiquitin-like protein conjugating enzyme binding [GO:0044390]; ubiquitin-specific protease binding [GO:1990381]
Q99536	VAT1_HUMAN	Synaptic vesicle membrane protein VAT-1 homolog (EC 1.-.-.-)	Homo sapiens (Human)	393	VAT1	azurophil granule lumen [GO:0035578]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; mitochondrial outer membrane [GO:0005741]	negative regulation of mitochondrial fusion [GO:0010637]; neutrophil degranulation [GO:0043312]	oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]
Q99541	PLIN2_HUMAN	Perilipin-2 (Adipophilin) (Adipose differentiation-related protein) (ADRP)	Homo sapiens (Human)	437	PLIN2	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]; lipid droplet [GO:0005811]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	lipid storage [GO:0019915]; long-chain fatty acid transport [GO:0015909]; regulation of lipid metabolic process [GO:0019216]; response to drug [GO:0042493]; response to organic cyclic compound [GO:0014070]	
Q99715	COCA1_HUMAN	Collagen alpha-1(XII) chain	Homo sapiens (Human)	3063	COL12A1	collagen-containing extracellular matrix [GO:0062023]; collagen type XII trimer [GO:0005595]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; extracellular vesicle [GO:1903561]	cell adhesion [GO:0007155]; collagen fibril organization [GO:0030199]; endodermal cell differentiation [GO:0035987]; growth plate cartilage chondrocyte morphogenesis [GO:0003429]	extracellular matrix structural constituent conferring tensile strength [GO:0030020]
Q9BRK3	MXRA8_HUMAN	Matrix remodeling-associated protein 8 (Limitrin)	Homo sapiens (Human)	442	MXRA8	bicellular tight junction [GO:0005923]; cell surface [GO:0009986]; ciliary membrane [GO:0060170]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; nucleus [GO:0005634]	cell adhesion [GO:0007155]; cellular protein metabolic process [GO:0044267]; establishment of glial blood-brain barrier [GO:0060857]; post-translational protein modification [GO:0043687]; viral process [GO:0016032]	
Q9BS26	ERP44_HUMAN	Endoplasmic reticulum resident protein 44 (ER protein 44) (ERp44) (Thioredoxin domain-containing protein 4)	Homo sapiens (Human)	406	ERP44	cell surface [GO:0009986]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; specific granule lumen [GO:0035580]	cell redox homeostasis [GO:0045454]; glycoprotein metabolic process [GO:0009100]; neutrophil degranulation [GO:0043312]; protein folding [GO:0006457]; response to endoplasmic reticulum stress [GO:0034976]; response to unfolded protein [GO:0006986]	protein disulfide isomerase activity [GO:0003756]
Q9BT09	CNPY3_HUMAN	Protein canopy homolog 3 (CTG repeat protein 4a) (Expanded repeat-domain protein CAG/CTG 5) (Protein associated with TLR4) (Trinucleotide repeat-containing gene 5 protein)	Homo sapiens (Human)	278	CNPY3	endoplasmic reticulum lumen [GO:0005788]	innate immune response [GO:0045087]; toll-like receptor signaling pathway [GO:0002224]	signaling receptor binding [GO:0005102]
Q9BTT0	AN32E_HUMAN	Acidic leucine-rich nuclear phosphoprotein 32 family member E (LANP-like protein) (LANP-L)	Homo sapiens (Human)	268	ANP32E	cytoplasmic vesicle [GO:0031410]; nucleus [GO:0005634]; Swr1 complex [GO:0000812]	histone exchange [GO:0043486]	histone binding [GO:0042393]; phosphatase inhibitor activity [GO:0019212]
Q9BUF5	TBB6_HUMAN	Tubulin beta-6 chain (Tubulin beta class V)	Homo sapiens (Human)	446	TUBB6	cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; microtubule [GO:0005874]; nucleus [GO:0005634]	microtubule-based process [GO:0007017]; microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; structural constituent of cytoskeleton [GO:0005200]
Q9BW19	KIFC1_HUMAN	Kinesin-like protein KIFC1 (Kinesin-like protein 2) (Kinesin-related protein HSET)	Homo sapiens (Human)	673	KIFC1	early endosome [GO:0005769]; kinesin complex [GO:0005871]; membrane [GO:0016020]; microtubule [GO:0005874]; microtubule organizing center [GO:0005815]; mitotic spindle [GO:0072686]; nucleus [GO:0005634]	cell division [GO:0051301]; microtubule-based movement [GO:0007018]; mitotic metaphase plate congression [GO:0007080]; mitotic sister chromatid segregation [GO:0000070]; mitotic spindle assembly [GO:0090307]; spermatogenesis [GO:0007283]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]
Q9BZE9	ASPC1_HUMAN	Tether containing UBX domain for GLUT4 (Alveolar soft part sarcoma chromosomal region candidate gene 1 protein) (Alveolar soft part sarcoma locus) (Renal papillary cell carcinoma protein 17) (UBX domain-containing protein 9)	Homo sapiens (Human)	553	ASPSCR1	cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; endomembrane system [GO:0012505]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; extrinsic component of membrane [GO:0019898]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; vesicle membrane [GO:0012506]	glucose homeostasis [GO:0042593]; intracellular protein transport [GO:0006886]; positive regulation of protein modification process [GO:0031401]; regulation of glucose import [GO:0046324]	
Q9H0B6	KLC2_HUMAN	Kinesin light chain 2 (KLC 2)	Homo sapiens (Human)	622	KLC2	cytosol [GO:0005829]; kinesin complex [GO:0005871]; kinesin I complex [GO:0016938]; membrane [GO:0016020]; microtubule [GO:0005874]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]	antigen processing and presentation of exogenous peptide antigen via MHC class II [GO:0019886]; microtubule-based movement [GO:0007018]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]	cadherin binding [GO:0045296]; kinesin binding [GO:0019894]; microtubule motor activity [GO:0003777]
Q9H3P7	GCP60_HUMAN	Golgi resident protein GCP60 (Acyl-CoA-binding domain-containing protein 3) (Golgi complex-associated protein 1) (GOCAP1) (Golgi phosphoprotein 1) (GOLPH1) (PBR- and PKA-associated protein 7) (Peripheral benzodiazepine receptor-associated protein PAP7) [Cleaved into: Golgi resident protein GCP60, N-terminally processed]	Homo sapiens (Human)	528	ACBD3	Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; membrane [GO:0016020]; mitochondrion [GO:0005739]	steroid biosynthetic process [GO:0006694]	fatty-acyl-CoA binding [GO:0000062]; protein kinase A regulatory subunit binding [GO:0034237]
Q9H773	DCTP1_HUMAN	dCTP pyrophosphatase 1 (EC 3.6.1.12) (Deoxycytidine-triphosphatase 1) (dCTPase 1) (RS21C6) (XTP3-transactivated gene A protein)	Homo sapiens (Human)	170	DCTPP1	cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleus [GO:0005634]	dCTP catabolic process [GO:0006253]; DNA protection [GO:0042262]; nucleoside triphosphate catabolic process [GO:0009143]; protein homotetramerization [GO:0051289]	dCTP diphosphatase activity [GO:0047840]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; nucleoside-triphosphate diphosphatase activity [GO:0047429]; pyrimidine deoxyribonucleotide binding [GO:0032556]
Q9H9B4	SFXN1_HUMAN	Sideroflexin-1	Homo sapiens (Human)	322	SFXN1	integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]	erythrocyte differentiation [GO:0030218]; iron ion homeostasis [GO:0055072]; iron ion transport [GO:0006826]	ion transmembrane transporter activity [GO:0015075]
